first_index,all_indices,title_hi,title_en,youtube_url,tags
688,688,कात्यायनी स्तुति,Katyayani Stuti,https://youtu.be/6YC07U56lEE?si=yMIUoQan-D0osO7O,"Happiness, LoveAndRelationship, Mantra, Stuti"
689,689,शांति श्लोक,Shanti Shlok,https://youtube.com/shorts/uCiRodyfM_8?si=PN-Mn7CrHYKViZK_,"Happiness, Health, Shloka"
690,690,समर्पण श्लोक,Samarpan Shlok,https://youtube.com/shorts/J6nx86MKzeA?si=Ma4-zWFrTo-M-52R,"Happiness, Shloka"
691,691,गणेश श्लोक,Ganesha Shlok,https://youtube.com/shorts/1mCkCzBIvDo?si=gbomNeAXomyRR6Xw,"Bhajan, Diwali, GaneshChaturthi, Happiness, Mantra, Shloka, Success"
692,692,शिव श्लोक,Shiv Shlok,https://youtube.com/shorts/IPmuTHmizWo?si=XZ2PxqPnPCnTi9QR,"Happiness, MahaShivratri, Mantra, Shloka"
693,693,गुरु श्लोक,Guru Shlok,https://youtube.com/shorts/fGShWlmiDyE?si=sHBTIs2BRo6Bf0Pj,"Happiness, Shloka, Success"
694,694,सरस्वती श्लोक,Saraswati Shlok,https://youtube.com/shorts/Asb3NCYzDnM?si=2Ip-bhoGeriuglXN,"Happiness, Shloka, Success"
695,695,प्रभात श्लोक,Prabhat Shlok,https://youtube.com/shorts/hGMBqByQYjc?si=Q7qr-LXZlCVp8TGA,"Happiness, Shloka"
696,696,मंगल श्लोक,Mangal Shlok,https://youtube.com/shorts/IpnEpKR9Qrs?si=oblu0Y1NfxniQt1B,"Happiness, Shloka"
697,697,भक्ति श्लोक,Bhakti Shlok,https://youtube.com/shorts/Z6qY7bZI3jk?si=dLnC6mUncXWL2P2K,"Happiness, Shloka"
698,698,हनुमान श्लोक,Hanuman Shlok,https://youtu.be/iWd6VAWduZg?si=qrMcv4ayCSmC3X_q,"HanumanJayanti, HanumanJi, Happiness, LoveAndRelationship, Mantra, Shloka, Strength, Stuti"
700,700,सूर्य आरोग्य मंत्र,Surya Arogya Mantra,https://youtu.be/FOzo1SxVxAg?si=dVlzuPfVGyDEcJtC,"Health, Mantra"
701,701,प्राण मुद्रा मंत्र,Prana Mudra Mantra,https://youtu.be/g7rBhaAT04A?si=YFuq2iT7ASAzdrcz,"Health, Mantra"
702,702,रोग नाशक मंत्र,Rog Nashak Mantra,https://youtu.be/MJwg2dRnBeQ?si=fQFON7tpoz66jfCP,"Health, Mantra, Shloka"
703,703,हनुमान स्वास्थ्य मंत्र,Hanuman Swasthya Mantra,https://youtu.be/FUpzgvsWkL8?si=qjtBffQzDjZu3rmc,"HanumanJayanti, HanumanJi, Health, Mantra, Shloka"
704,704,अश्विनी कुमार मंत्र,Ashwini Kumar Mantra,https://youtu.be/j8l2aX86Ouk?si=1JGWEjb8YcyEDR9R,"Health, Mantra, Shloka"
705,705,दुर्गा आरोग्य मंत्र,Durga Arogya Mantra,https://youtu.be/OKRVaXU01kI?si=JiW7DxUS6igTBq2G,"DurjaJi, Health, Mantra, Shloka"
706,706,शिव आरोग्य मंत्र,Shiv Arogya Mantra,https://youtu.be/e7KzbCXk1lE?si=giRiDC8Uht1ntqGk,"Health, Mantra"
